車種名,モデル,グレード,支払総額,年式,走行距離,修復歴,ミッション,排気量,取得日時,取得日,取得時刻,ソースURL,車両URL
GS,情報なし,350 Iパッケージ 4WD ・ワンオーナー・寒冷地仕様・メーカーナビ　CD/DVD/Blu-ray/SD/BT/フルセグ・バックカメラ・ビルトインETC2.0・純正ドライブレコーダー・プリクラッシュセーフティ・3眼LED,289.8万円,2016(H28),2.3万km,なし,フロアMTモード付6AT,3500CC,2025-08-14T23:32:11.555416,2025-08-14,23:32:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S001&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6400041205/index.html
GS,情報なし,350 Iパッケージ 純正ナビTV3眼LEDヘッドBカメラETC茶革,181.2万円,2016(H28),7.4万km,なし,フロアMTモード付8AT,3500CC,2025-08-14T23:32:11.558230,2025-08-14,23:32:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S001&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6439014940/index.html
GS,情報なし,200t Iパッケージ 1オーナーOP3眼LEDナビBカメラ運転支援,220.3万円,2016(H28),1.5万km,なし,フロアMTモード付8AT,2000CC,2025-08-14T23:32:11.560959,2025-08-14,23:32:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S001&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6414023464/index.html
GS,情報なし,350 Fスポーツ OP3眼LED純正ナビ黒革シートヒータ衝突軽減,178.9万円,2016(H28),9.6万km,なし,フロアMTモード付8AT,3500CC,2025-08-14T23:32:11.563652,2025-08-14,23:32:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S001&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6449418478/index.html
GS,情報なし,350 4WD 寒冷地仕様 純正ナビ バックカメラ,299.7万円,2018(H30),3.3万km,なし,フロアMTモード付6AT,3500CC,2025-08-14T23:32:11.566345,2025-08-14,23:32:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S001&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6374633994/index.html
GS,情報なし,350 バージョンL 冷暖電動本革シート・HDDナビ・フルセグ・バックカメラ・Bluetooth接続・HIDヘッドライト・純正18AW・スマートキー・前後ソナー・クルーズコントロール・ウインカーミラー・オートエアコン,102.8万円,2012(H24),7.6万km,なし,フロアMTモード付6AT,3500CC,2025-08-14T23:32:11.570942,2025-08-14,23:32:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S001&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6376287753/index.html
GS,情報なし,350 Fスポーツ 赤革冷暖 サンル-フ LEDヘッド Bカメラ ETC,142万円,2013(H25),9.4万km,なし,フロアMTモード付6AT,3500CC,2025-08-14T23:32:11.574363,2025-08-14,23:32:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S001&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6364623546/index.html
GS,情報なし,350 Iパッケージ 禁煙車/マークレビンソン/新品スピンドルカスタム/連眼LEDヘッドライト/18インチアルミホイール/HUD/クリアランスソナー/黒本革/シートヒーター/エアシート/オートクルーズ/HDDマルチナビ/バックモニター/Bluetooth,103.6万円,2012(H24),12.6万km,なし,フロアMTモード付6AT,3500CC,2025-08-14T23:32:11.577549,2025-08-14,23:32:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S001&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6483753021/index.html
GS,情報なし,200t Iパッケージ 黒革エアシート レーダークルコン 3眼LED,205万円,2017(H29),10.7万km,なし,フロアMTモード付8AT,2000CC,2025-08-14T23:32:11.580336,2025-08-14,23:32:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S001&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6363201976/index.html
GS,情報なし,350 バージョンL 禁煙車/整備記録簿13枚/新品スピンドルカスタム/パワートランク/クリアランスソナー/黒本革/エアシート/シートヒーター/LEDヘッドライト/オートクルーズ/HDDマルチナビ/カラーバックモニター/Bluetoothオーディオ,145.2万円,2013(H25),6.8万km,なし,フロアMTモード付6AT,3500CC,2025-08-14T23:32:11.583039,2025-08-14,23:32:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S001&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6428616527/index.html
GS,情報なし,250 Iパッケージ シートヒーター ETC パドルシフト純正AW,177.9万円,2013(H25),3.5万km,なし,フロアMTモード付6AT,2500CC,2025-08-14T23:32:11.585785,2025-08-14,23:32:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S001&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6394472707/index.html
GS,情報なし,250 バージョンL 禁煙/整備記録簿29枚/新品スピンドルカスタム/レーダークルーズ/プリクラッシュ/ドライバーモニター/パワートランク/クリアランスソナー/後席コントロールパネル/エアシート/シートヒーター/HDDマルチナビ/連眼LED,145.4万円,2012(H24),6.7万km,なし,フロアMTモード付6AT,2500CC,2025-08-14T23:32:11.590540,2025-08-14,23:32:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S001&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6483752103/index.html
GS,情報なし,350 Iパッケージ 4WD 純正ナビ サンルーフ ドラレコ 衝突軽減,309.8万円,2017(H29),2.2万km,なし,フロアMTモード付6AT,3500CC,2025-08-14T23:32:11.593171,2025-08-14,23:32:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S001&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6376451810/index.html
GS,情報なし,250 Fスポーツ 純正ナビ バックカメラ Dレコーダー ETC,165.5万円,2013(H25),7.9万km,なし,フロアMTモード付6AT,2500CC,2025-08-14T23:32:11.595854,2025-08-14,23:32:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S001&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6399372005/index.html
GS,情報なし,250 Fスポーツ 冷暖電動黒本革シート・HDDナビ・フルセグ・バックカメラ・Bluetooth接続・LEDヘッドライト・クルーズコントロール・純正19AW・ウインカーミラー・オートエアコン,109.8万円,2012(H24),8.4万km,あり,フロアMTモード付6AT,2500CC,2025-08-14T23:32:11.598566,2025-08-14,23:32:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S001&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6241191734/index.html
GS,情報なし,350 Fスポーツ 4WD 寒冷地仕様/純正メーカーナビ/フルセグTV/バックカメラ/ビルトインETC/純正エンジンスターター/クルーズコントロール/ベージュ本革シート/シートヒーター/エアシート/コーナーセンサー/スペアキー,160万円,2013(H25),9.2万km,なし,フロアMTモード付6AT,3500CC,2025-08-14T23:32:11.601531,2025-08-14,23:32:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S001&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6434331885/index.html
