車種名,モデル,グレード,支払総額,年式,走行距離,修復歴,ミッション,排気量,取得日時,取得日,取得時刻,ソースURL,車両URL
GT-R,情報なし,3.8 ブラックエディション 4WD NISMO用20AW　サッチャム車両防盗システム,1007万円,2015(H27),1.9万km,なし,フロアMTモード付6AT,3800CC,2025-08-09T23:37:38.684099,2025-08-09,23:37:38,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S154&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6261030464/index.html
GT-R,情報なし,3.8 プレミアムエディション 4WD 純正ナビ バックカメラ ビルトインETC BOSEスピーカー 純正20インチAW ブレンボブレーキ LEDライト ハーフレザーシート シートヒーター ドライブレコーダー クルーズコントロール R5/6/7年ディーラー整備記録,1678.8万円,2023(R05),0.6万km,なし,フロアMTモード付6AT,3800CC,2025-08-09T23:37:38.686772,2025-08-09,23:37:38,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S154&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6457963030/index.html
GT-R,情報なし,3.8 プレミアムエディション 4WD VALENTIヘッドライト　VERZホイール　ETC,799万円,2010(H22),7.4万km,なし,フロアMTモード付6AT,3800CC,2025-08-09T23:37:38.689510,2025-08-09,23:37:38,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S154&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6394318935/index.html
GT-R,情報なし,3.8 ピュアエディション 4WD MY16室内展示PガラスBカメラ純正ナビTVETC,1279.1万円,2016(H28),2万km,なし,フロアMTモード付6AT,3800CC,2025-08-09T23:37:38.692301,2025-08-09,23:37:38,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S154&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6410472151/index.html
GT-R,情報なし,3.8 プレミアムエディション 4WD 24モデル BOSEサウンド サッチャム 禁煙車　レイズ製鍛造20インチAW　チタン合金製マフラ　サッチャム　リア3面スモークフィルム　ドラレコ機能付きデジタルインナーミラー　NISMOフロアマット,1805.7万円,2023(R05),0.6万km,なし,フロアMTモード付6AT,3800CC,2025-08-09T23:37:38.695101,2025-08-09,23:37:38,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S154&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6416955760/index.html
GT-R,情報なし,3.8 ブラックエディション 4WD 20年モデル　ワンオーナー　専用RECAROシート　プライバシーガラス　SRSサイド&カーテンエアバッグ　レイズ製20インチAW　サッチャム防盗システム　FUJITSUBO製チタン合金マフラー　禁煙車,1627.3万円,2020(R02),0.7万km,なし,フロアMTモード付6AT,3800CC,2025-08-09T23:37:38.698113,2025-08-09,23:37:38,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S154&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6397449394/index.html
GT-R,情報なし,3.8 プレミアムエディション 4WD MY15　室内展示　純正ナビ　フルセグTV　BOSEサウンド　シートヒーター　ドライブレコーダ　ETC　純正20インチAW　稲妻LEDヘッドライト　デイライトキャンセルスイッチ　保証書　取説　スペアキ,1186.3万円,2015(H27),1.1万km,なし,フロアMTモード付6AT,3800CC,2025-08-09T23:37:38.701035,2025-08-09,23:37:38,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S154&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6445490158/index.html
GT-R,情報なし,3.8 NISMO 4WD MY17室内展示NISMOスポリセ専用エアロシ-ト,1977.9万円,2017(H29),1.2万km,なし,フロアMTモード付6AT,3800CC,2025-08-09T23:37:38.703785,2025-08-09,23:37:38,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S154&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6381108518/index.html
GT-R,情報なし,3.8 4WD NEW内装貼替150万(アルカンタラ&レザー)　ハセミスポーツエアロ　ブリッツBRWホイール　SARDスポーツキャタライザー　ワンオフチタンマフラー　ダウンサス　HKSブローオフバルブ　屋内保管,999.8万円,2008(H20),3.7万km,なし,フロアMTモード付6AT,3800CC,2025-08-09T23:37:38.706451,2025-08-09,23:37:38,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S154&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6417252384/index.html
GT-R,情報なし,3.8 ブラックエディション 4WD 純正後期ヘッド/KUHLエアロ/レカロ,718.1万円,2008(H20),交換車13.1万km,なし,フロアMTモード付6AT,3800CC,2025-08-09T23:37:38.709016,2025-08-09,23:37:38,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S154&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6433665693/index.html
