車種名,モデル,グレード,支払総額,年式,走行距離,修復歴,ミッション,排気量,取得日時,取得日,取得時刻,ソースURL,車両URL
M4クーペ,情報なし,コンペティション 全国2年保証付　19/20AW　シルバーストーン/ブラックレザーシート　レーザーライト　シートヒーター　360カメラ　電動トランク　アンビエントライト　harman/kardon　AppleCarPlay,861.3万円,2021(R03),1.4万km,なし,フロアMTモード付8AT,3000CC,2025-08-14T23:39:34.484283,2025-08-14,23:39:34,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=BM_S047&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6424130932/index.html
M4クーペ,情報なし,コンペティション M xドライブ 4WD 黒革ベンチレーションハーマンカードンデモ,1024万円,2024(R06),0.9万km,なし,フロアMTモード付8AT,3000CC,2025-08-14T23:39:34.486953,2025-08-14,23:39:34,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=BM_S047&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6435311101/index.html
M4クーペ,情報なし,コンペティション 全国2年保証付　ブラックレザ-　カ-ボンル-フ　19/20AW　シートベンチレーション　シートヒーター　360カメラ　harman/kardon　電動トランク　AppleCarPlay　アンビエントライト,871.4万円,2021(R03),1万km,なし,フロアMTモード付8AT,3000CC,2025-08-14T23:39:34.489232,2025-08-14,23:39:34,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=BM_S047&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6364800608/index.html
M4クーペ,情報なし,コンペティション M xドライブ 4WD 全国2年保証,1031.5万円,2024(R06),0.7万km,なし,フロアMTモード付8AT,3000CC,2025-08-14T23:39:34.491953,2025-08-14,23:39:34,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=BM_S047&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6417128024/index.html
M4クーペ,情報なし,3.0 認定中古車　マニュアル車　19インチ,974.8万円,2022(R04),1.1万km,なし,フロアMTモード付6MT,3000CC,2025-08-14T23:39:34.494632,2025-08-14,23:39:34,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=BM_S047&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6418414099/index.html
M4クーペ,情報なし,3.0 左ハンドル　赤革　MT車　360度カメラ,1058.4万円,2023(R05),0.8万km,なし,フロア6MT,3000CC,2025-08-14T23:39:34.496809,2025-08-14,23:39:34,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=BM_S047&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6282072637/index.html
M4クーペ,情報なし,コンペティション M xドライブ 4WD ワンオーナー カーブドディスプレイ　ハーマンカードンスピーカー　カーボンルーフ　全周囲カメラ　シートヒーター　シートクーラー　アクティブクルーズコントロール　ヘッドアップディスプレイ　純正19インチAW,1058万円,2023(R05),0.7万km,なし,フロアMTモード付8AT,3000CC,2025-08-14T23:39:34.499585,2025-08-14,23:39:34,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=BM_S047&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6485906719/index.html
M4クーペ,情報なし,コンペティション M xドライブ 4WD ハーマンカードン マフラーサウンドC,899万円,2021(R03),0.5万km,なし,フロアMTモード付8AT,3000CC,2025-08-14T23:39:34.502289,2025-08-14,23:39:34,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=BM_S047&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6182052186/index.html
M4クーペ,情報なし,M DCT ドライブロジック ホワイトレザー harman/kardon ナビ 車高調,478.9万円,2016(H28),3.3万km,なし,フロアMTモード付7AT,3000CC,2025-08-14T23:39:34.504939,2025-08-14,23:39:34,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=BM_S047&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6473254691/index.html
M4クーペ,情報なし,M DCT ドライブロジック カーボンR　カーボンP　ベージュ革　Mブレーキ　HUD　弊社下取り車　ワンオーナー　禁煙車　19インチAW 電動シートH　クルコン　地デジ　CDスロット　LED　コンフォートA　リアカメラ　ヘッドライトウォッシャー,463.8万円,2014(H26),4.9万km,なし,フロアMTモード付7AT,3000CC,2025-08-14T23:39:34.507658,2025-08-14,23:39:34,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=BM_S047&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6412045840/index.html
M4クーペ,情報なし,コンペティション M xドライブ 4WD 360°カメラ  黒革シート　ACC LKA BSM,939万円,2023(R05),1.3万km,なし,フロアMTモード付8AT,3000CC,2025-08-14T23:39:34.510339,2025-08-14,23:39:34,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=BM_S047&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6264179785/index.html
M4クーペ,情報なし,M DCT ドライブロジック セラミックB/フルレザー/社外エアロ/OP280,489.1万円,2014(H26),3.4万km,なし,フロアMTモード付7AT,3000CC,2025-08-14T23:39:34.512969,2025-08-14,23:39:34,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=BM_S047&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6217407893/index.html
M4クーペ,情報なし,M DCT ドライブロジック ミネラルホワイト/カーボンB/フルレザー,594.7万円,2015(H27),2.7万km,なし,フロアMTモード付7AT,3000CC,2025-08-14T23:39:34.515632,2025-08-14,23:39:34,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=BM_S047&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6391112590/index.html
