車種名,モデル,グレード,支払総額,年式,走行距離,修復歴,ミッション,排気量,取得日時,取得日,取得時刻,ソースURL,車両URL
RX,情報なし,200t 純正ナビBカメラTVパワーシート衝突軽減ETC,219.9万円,2016(H28),6.6万km,なし,フロア6AT,2000CC,2025-08-08T23:31:36.855511,2025-08-08,23:31:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6369783309/index.html
RX,情報なし,200t バージョンL 4WD 茶革冷暖シート後期用20AW360カメラ3眼LED,261.3万円,2016(H28),7.2万km,なし,フロアMTモード付6AT,2000CC,2025-08-08T23:31:36.857967,2025-08-08,23:31:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6430504292/index.html
RX,情報なし,500h Fスポーツ パフォーマンス 4WD マークレビンソン サンルーフ 黒半革シート リアシート電動リクライニング 全席シートヒーター&ベンチレーター レーダークルーズ プリクラッシュ アドバンスドドライブ ヒートステアリング F/Rクロストラフィック,779.8万円,2023(R05),1.5万km,なし,フロアMTモード付6AT,2400CC,2025-08-08T23:31:36.860730,2025-08-08,23:31:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6472064348/index.html
RX,情報なし,500h Fスポーツ パフォーマンス 4WD パノラマルーフ シートヒーター ETC,778.8万円,2023(R05),2.2万km,なし,フロア6AT,2400CC,2025-08-08T23:31:36.863746,2025-08-08,23:31:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6464660859/index.html
RX,情報なし,200t ワンオーナー　サンルーフ　Mナビ　ETC,278.4万円,2017(H29),7.7万km,なし,フロア6AT,2000CC,2025-08-08T23:31:36.865955,2025-08-08,23:31:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6428310761/index.html
RX,情報なし,200t Fスポーツ 4WD サンルーフRモデリスタ4本出マフラー黒革,291.5万円,2015(H27),8.8万km,なし,フロアMTモード付6AT,2000CC,2025-08-08T23:31:36.868351,2025-08-08,23:31:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6415672372/index.html
RX,情報なし,450h バージョンL サンルーフ&リアエンター黒革シートETC,306.3万円,2016(H28),3.2万km,なし,フロアMTモード付CVT,3500CC,2025-08-08T23:31:36.871084,2025-08-08,23:31:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6384429752/index.html
RX,情報なし,450hL 4WD 6人乗/サンルーフ/純正14型ナビ/全周囲,509.9万円,2020(R02),1.7万km,なし,フロアMTモード付CVT,3500CC,2025-08-08T23:31:36.873813,2025-08-08,23:31:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6451202352/index.html
RX,情報なし,450hプラス バージョンL 4WD パノラマ―フ　輻射ヒ-ター　チームメイト,753.1万円,2023(R05),1.8万km,なし,フロアMTモード付CVT,2500CC,2025-08-08T23:31:36.876850,2025-08-08,23:31:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6455823747/index.html
RX,情報なし,450h バージョンL 4WD 純正12型ナビ/サンルーフ/全周囲カメラ/ブラックレザー/ブラインドスポットモニター/ヘッドアップディスプレイ/シートクーラー/シートヒーター/置く充電/ステアリングヒーター/パワーバックドア,488.8万円,2021(R03),4.5万km,なし,フロアMTモード付CVT,3500CC,2025-08-08T23:31:36.879654,2025-08-08,23:31:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6456011438/index.html
RX,情報なし,450hL 4WD 後期型 全方位 HUD サンルーフ 三眼LED,393.8万円,2019(R01),8.7万km,なし,フロアCVT,3500CC,2025-08-08T23:31:36.882442,2025-08-08,23:31:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6471925329/index.html
RX,情報なし,500h Fスポーツ パフォーマンス 4WD 禁煙車 全方位カメラ ETC2.0 パノラマ,794.8万円,2023(R05),1.4万km,なし,フロアMTモード付6AT,2400CC,2025-08-08T23:31:36.885249,2025-08-08,23:31:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6403836444/index.html
RX,情報なし,500h Fスポーツ パフォーマンス 4WD マクレビSR1オナ車バックフォグ21AW,795.1万円,2023(R05),2.5万km,なし,フロアMTモード付6AT,2400CC,2025-08-08T23:31:36.888129,2025-08-08,23:31:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6416954573/index.html
RX,情報なし,450h バージョンL 4WD 衝突回避支援・本革・ムーンルーフ・HUD,388.7万円,2018(H30),3.9万km,なし,フロアCVT,3500CC,2025-08-08T23:31:36.890827,2025-08-08,23:31:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6443676956/index.html
RX,情報なし,300 バージョンL サンルーフ全周囲カメラ電動シート,343.6万円,2019(H31),5.9万km,なし,フロア6AT,2000CC,2025-08-08T23:31:36.893531,2025-08-08,23:31:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6408307595/index.html
RX,情報なし,450h バージョンL 4WD パノラマSR　白革シート　社外スポイラー　ACC　ナビ　TV　Bluetooth接続　360°シートヒーター　ベンチレーション　電動リアゲート　3眼LEDヘッドライト　衝突軽減B　BSM　LKA,464.8万円,2019(R01),3.7万km,なし,フロアMTモード付CVT,3500CC,2025-08-08T23:31:36.896223,2025-08-08,23:31:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6432202119/index.html
RX,情報なし,450h バージョンL SR 全方位 メーカーナビ 茶レザー 三眼 HUD,372万円,2018(H30),4.6万km,なし,フロアMTモード付CVT,3500CC,2025-08-08T23:31:36.898891,2025-08-08,23:31:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6317257308/index.html
RX,情報なし,350 Fスポーツ 4WD 三眼LEDヘッドライト サンルーフ ACC 禁煙,793.8万円,2024(R06),0.7万km,なし,フロアMTモード付8AT,2390CC,2025-08-08T23:31:36.901634,2025-08-08,23:31:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6361386163/index.html
RX,情報なし,300 バージョンL 4WD 純正ナビ/三眼LED/全周囲カメラ/衝突軽減,349.9万円,2018(H30),3.7万km,なし,フロア6AT,2000CC,2025-08-08T23:31:36.904362,2025-08-08,23:31:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6298605781/index.html
RX,情報なし,200t バージョンL 純正12.3型ナビ 衝突軽減 茶革シート ETC,269.9万円,2015(H27),6.7万km,なし,フロアMTモード付6AT,2000CC,2025-08-08T23:31:36.907067,2025-08-08,23:31:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6245920651/index.html
RX,情報なし,500h Fスポーツ パフォーマンス 4WD パノラマルーフ 輻射ヒーター 寒冷地仕様,843.5万円,2023(R05),0.8万km,なし,フロアMTモード付6AT,2400CC,2025-08-08T23:31:36.909814,2025-08-08,23:31:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6420413925/index.html
RX,情報なし,500h Fスポーツ パフォーマンス 4WD 純正ナビ/全周囲モニター/フルセグテレビ,798.6万円,2023(R05),0.9万km,なし,フロアMTモード付6AT,2400CC,2025-08-08T23:31:36.912479,2025-08-08,23:31:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6416950576/index.html
RX,情報なし,200t バージョンL サンルーフ360°カメラDミラー電動Rゲート,279.4万円,2016(H28),7.1万km,なし,フロアMTモード付6AT,2000CC,2025-08-08T23:31:36.914883,2025-08-08,23:31:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6430504507/index.html
RX,情報なし,500h Fスポーツ パフォーマンス 4WD ワンオーナー　サンルーフ　輻射ヒーター,838.7万円,2023(R05),0.9万km,なし,フロアMTモード付6AT,2400CC,2025-08-08T23:31:36.917601,2025-08-08,23:31:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6353126984/index.html
RX,情報なし,500h Fスポーツ パフォーマンス 4WD 4WD　パノラマル-フ　ブラックルーフレール,817.8万円,2023(R05),0.3万km,なし,フロアMTモード付6AT,2400CC,2025-08-08T23:31:36.920275,2025-08-08,23:31:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6459404220/index.html
RX,情報なし,200t Fスポーツ 純正ナビ VSC BSM 　プリクラッシュ　赤革シート クリアランスソナー　フルセグテレビ　　全方位カメラ　禁煙車　前後コーナーセンサー　ETC2.0　電動リアゲート　クルコン　パワーシート,279.8万円,2017(H29),8.4万km,なし,フロアMTモード付6AT,2000CC,2025-08-08T23:31:36.923026,2025-08-08,23:31:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6407968177/index.html
RX,情報なし,500h Fスポーツ パフォーマンス 4WD パノラマルーフ　レクサスチームメイト,801.5万円,2023(R05),1.6万km,なし,フロアMTモード付6AT,2400CC,2025-08-08T23:31:36.925773,2025-08-08,23:31:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6442158365/index.html
RX,情報なし,500h Fスポーツ パフォーマンス 4WD パノラマルーフ　寒冷地仕様　チームメイト,804.7万円,2023(R05),1.2万km,なし,フロアMTモード付6AT,2400CC,2025-08-08T23:31:36.928518,2025-08-08,23:31:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6445191402/index.html
RX,情報なし,200t ムーンルーフ 角型3眼LEDヘッドライト ワンオーナー バックカメラ/サイドカメラ ブラック内装 禁煙車,308.9万円,2016(H28),2.7万km,なし,フロアMTモード付6AT,2000CC,2025-08-08T23:31:36.931273,2025-08-08,23:31:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=LE_S008&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6340412527/index.html
