車種名,モデル,グレード,支払総額,年式,走行距離,修復歴,ミッション,排気量,取得日時,取得日,取得時刻,ソースURL,車両URL
S660,情報なし,660 ベータ 6MT純正AWスマートキーLEDヘッドETC,164.8万円,2017(H29),3万km,なし,フロア6MT,660CC,2025-08-10T23:37:11.151924,2025-08-10,23:37:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S106&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6274261543/index.html
S660,情報なし,660 アルファ α　6MT　衝突軽減ブレーキ,280万円,2022(R04),0.5万km,なし,フロア6MT,660CC,2025-08-10T23:37:11.154655,2025-08-10,23:37:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S106&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6178688049/index.html
S660,情報なし,660 ベータ 純正AUXオーディオ　USBオーディオ　ETC車載器　LEDオートライト　ワンオーナー　禁煙車　スマートプッシュスタート　純正15AW(F)　純正16AW(R)　スマートキー　VSA,176.7万円,2020(R02),5.9万km,なし,フロアCVT,660CC,2025-08-10T23:37:11.156825,2025-08-10,23:37:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S106&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6472064176/index.html
S660,情報なし,660 ブルーノ レザー エディション 純正ディスプレイオーディオ Bカメラ,169.8万円,2018(H30),6.6万km,なし,フロアMTモード付CVT,660CC,2025-08-10T23:37:11.159469,2025-08-10,23:37:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S106&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6470293530/index.html
S660,情報なし,660 アルファ 禁煙 6MT　クルコン　アドバン15インチAW,179.9万円,2017(H29),4.7万km,なし,フロア6MT,660CC,2025-08-10T23:37:11.162150,2025-08-10,23:37:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S106&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6349822168/index.html
S660,情報なし,660 ベータ ETC 純正AW 無限マット プッシュスタート,164.8万円,2017(H29),1.6万km,なし,フロアCVT,660CC,2025-08-10T23:37:11.164812,2025-08-10,23:37:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S106&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6359920186/index.html
S660,情報なし,660 アルファ 1年保証付 MT車 バックカメラ,289.9万円,2022(R04),0.2万km,なし,フロア6MT,660CC,2025-08-10T23:37:11.167518,2025-08-10,23:37:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S106&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6397751369/index.html
S660,情報なし,660 アルファ /6MT/LEDヘッドライト/ハーフレザー,149万円,2016(H28),6.9万km,あり,フロア6MT,660CC,2025-08-10T23:37:11.170133,2025-08-10,23:37:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S106&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6407323609/index.html
S660,情報なし,660 アルファ 6MT スマートキー LEDヘッドライト Bカメラ,272.3万円,2021(R03),0.9万km,なし,フロア6MT,660CC,2025-08-10T23:37:11.172308,2025-08-10,23:37:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S106&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6130504889/index.html
S660,情報なし,660 ベータ 純DA Bカメ ETC BT CTBA 社外AW LED HDMI,169.8万円,2018(H30),3.5万km,なし,フロアMTモード付CVT,660CC,2025-08-10T23:37:11.174948,2025-08-10,23:37:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S106&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6417684890/index.html
S660,情報なし,660 アルファ 禁煙車 ターボ バックカメラ レザーシート,162.9万円,2015(H27),2.6万km,なし,フロアCVT,660CC,2025-08-10T23:37:11.177674,2025-08-10,23:37:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S106&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6449570493/index.html
S660,情報なし,660 アルファ MT車　バックカメラ　禁煙車　レザーシート　スマートキー　LEDヘッド　ETC　クルコン　オートライト　オートエアコン　純正16インチアルミ　地デジ,207.9万円,2017(H29),2.7万km,なし,フロア6MT,660CC,2025-08-10T23:37:11.180404,2025-08-10,23:37:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S106&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6449415661/index.html
S660,情報なし,660 アルファ 衝突被害軽減ブレーキ ターボ車 LEDライト,177万円,2016(H28),1.1万km,なし,フロアMTモード付CVT,660CC,2025-08-10T23:37:11.183062,2025-08-10,23:37:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S106&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6461356878/index.html
S660,情報なし,660 ベータ 6MT社外AWスマートキーPスタETC,159.8万円,2018(H30),5.2万km,なし,フロア6MT,660CC,2025-08-10T23:37:11.185717,2025-08-10,23:37:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S106&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6428763259/index.html
S660,情報なし,660 アルファ 6MT1オーナ純正ディスプレイBカメラETC,184.8万円,2016(H28),3.1万km,なし,フロア6MT,660CC,2025-08-10T23:37:11.188403,2025-08-10,23:37:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S106&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6293621821/index.html
S660,情報なし,660 ベータ ディスプレイオーディオ/LEDヘッドライト,161.5万円,2016(H28),5.4万km,なし,フロアCVT,660CC,2025-08-10T23:37:11.191057,2025-08-10,23:37:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S106&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6309577952/index.html
S660,情報なし,660 アルファ ナビ装着スペシャルパッケージ　バックカメラ　シティブレーキアクティブシステム　LEDヘッドライト　ETC,199.8万円,2019(H31),2.5万km,なし,フロアMTモード付CVT,660CC,2025-08-10T23:37:11.193762,2025-08-10,23:37:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S106&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6338524102/index.html
S660,情報なし,660 アルファ 禁煙車 衝突軽減 ディスプレイ ETC 禁煙車,159.9万円,2016(H28),5.7万km,なし,フロアCVT,660CC,2025-08-10T23:37:11.196501,2025-08-10,23:37:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S106&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6436336313/index.html
S660,情報なし,660 ベータ 7CVT センターディスプレイ シティブレーキアクティブシステム バックカメラ LEDヘッド オートライト スマートキー オートエアコン パドルシフト ステアリングスイッチ ETC ドラレコ 禁煙車,167.9万円,2019(R01),4.8万km,なし,フロアCVT,660CC,2025-08-10T23:37:11.199231,2025-08-10,23:37:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S106&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6412412376/index.html
S660,情報なし,660 ベータ 最長5年保証 禁煙 純正アルミ スマ-トキ-,208.6万円,2020(R02),2.9万km,なし,フロアMTモード付CVT,660CC,2025-08-10T23:37:11.201935,2025-08-10,23:37:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S106&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6457658787/index.html
S660,情報なし,660 アルファ 6速マニュアル　ギャザズオンダッシュナビ　USB　スカイサウンド　ブルートゥース　バックカメラ　ETC車載器　シートヒーター　ドラレコ　LEDオートライト　禁煙車　社外マフラー　スマートキー　禁煙車,266.9万円,2021(R03),2.4万km,なし,フロア6MT,660CC,2025-08-10T23:37:11.204099,2025-08-10,23:37:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S106&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6424130934/index.html
S660,情報なし,660 ベータ 純正DA　Bカメラ　ETC　　LED,266.2万円,2022(R04),1.6万km,なし,フロア6MT,660CC,2025-08-10T23:37:11.206704,2025-08-10,23:37:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S106&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6457650629/index.html
S660,情報なし,アルファシティブレーキアクティブS 軽減B・ディスプレイ・ETC付,168.5万円,2016(H28),3.9万km,なし,フロアCVT,660CC,2025-08-10T23:37:11.209320,2025-08-10,23:37:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S106&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6023943356/index.html
S660,情報なし,660 ブルーノ レザー エディション 純正DA バックカメラ 茶半革  衝突軽減 LED,204.8万円,2017(H29),1万km,なし,フロアMTモード付CVT,660CC,2025-08-10T23:37:11.211960,2025-08-10,23:37:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S106&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6369789254/index.html
S660,情報なし,660 アルファ シートハーフレザー/EBD付ABS/エアバッグ,162.8万円,2016(H28),4.4万km,なし,フロアCVT,660CC,2025-08-10T23:37:11.214566,2025-08-10,23:37:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S106&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6341591755/index.html
S660,情報なし,660 アルファ バックカメラ 本革シート クルコン ETC スマートキー LEDヘッド オートライト オートエアコン 純正15インチAW Bluetooth 革巻きステアリング パドルシフト 横滑防止装置,179.9万円,2016(H28),1.5万km,なし,フロアCVT,660CC,2025-08-10T23:37:11.217285,2025-08-10,23:37:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S106&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6415674452/index.html
S660,情報なし,660 ベータ 6速MT　禁煙車　バックカメラ　LEDヘッドライト　LEDフロントフォグランプ　オートライト　ドライブレコーダー　純正15インチアルミホイール　スマートキー　オートエアコン　盗難防止システム,204.9万円,2020(R02),5.4万km,なし,フロア6MT,660CC,2025-08-10T23:37:11.220021,2025-08-10,23:37:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S106&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6402556842/index.html
S660,情報なし,660 アルファ LED・センターディスプレイ・バックカメラ,184.5万円,2016(H28),2.6万km,なし,フロアCVT,660CC,2025-08-10T23:37:11.222601,2025-08-10,23:37:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S106&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6435311563/index.html
S660,情報なし,660 アルファ 衝突軽減ブレーキ 社外ナビ 純正AW ETC LED,204.8万円,2017(H29),2.6万km,なし,フロア6MT,660CC,2025-08-10T23:37:11.225345,2025-08-10,23:37:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S106&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6349188571/index.html
S660,情報なし,660 アルファ 6MT純正ディスプレーオーディオ,207.4万円,2018(H30),1.6万km,なし,フロア6MT,660CC,2025-08-10T23:37:11.227906,2025-08-10,23:37:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S106&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6432255537/index.html
S660,情報なし,660 アルファ BLITZマフラー クルコン スマートキー,174.9万円,2015(H27),1.3万km,なし,フロアCVT,660CC,2025-08-10T23:37:14.061778,2025-08-10,23:37:14,https://www.carsensor.net/usedcar/bHO/s106/index2.html,https://www.carsensor.net/usedcar/detail/AU6467098837/index.html
S660,情報なし,660 アルファ ディスプレイオーディオ/LEDヘッドライト,278.4万円,2021(R03),1.2万km,なし,フロア6MT,660CC,2025-08-10T23:37:14.064779,2025-08-10,23:37:14,https://www.carsensor.net/usedcar/bHO/s106/index2.html,https://www.carsensor.net/usedcar/detail/AU6410189069/index.html
S660,情報なし,660 ベータ 6MT ドラレコ ETC 純正15AW スマートキー,219.9万円,2020(R02),2.8万km,なし,フロア6MT,660CC,2025-08-10T23:37:14.067867,2025-08-10,23:37:14,https://www.carsensor.net/usedcar/bHO/s106/index2.html,https://www.carsensor.net/usedcar/detail/AU6389338199/index.html
S660,情報なし,660 ベータ,186.2万円,2017(H29),2.8万km,なし,フロアMTモード付CVT,660CC,2025-08-10T23:37:14.070506,2025-08-10,23:37:14,https://www.carsensor.net/usedcar/bHO/s106/index2.html,https://www.carsensor.net/usedcar/detail/AU6412116690/index.html
S660,情報なし,660 ブルーノ レザー エディション ディスプレイオーディオ/シートハーフレザ-,173.4万円,2017(H29),7.1万km,なし,フロアCVT,660CC,2025-08-10T23:37:14.073512,2025-08-10,23:37:14,https://www.carsensor.net/usedcar/bHO/s106/index2.html,https://www.carsensor.net/usedcar/detail/AU6364468100/index.html
S660,情報なし,660 アルファ 新品タイヤ/ドライブレコーダー/HDMI接続,220.8万円,2018(H30),3.6万km,なし,フロア6MT,660CC,2025-08-10T23:37:14.076413,2025-08-10,23:37:14,https://www.carsensor.net/usedcar/bHO/s106/index2.html,https://www.carsensor.net/usedcar/detail/AU6445326412/index.html
S660,情報なし,660 アルファ シティブレーキアクティブシステム　メモリーナビ　バックカメラ　クルーズコントロール　ETC　Bluetooth　スマートキー　純正15インチアルミ　オートライト　オートエアコン　LEDヘッドライト,247.9万円,2022(R04),4万km,なし,フロア6MT,660CC,2025-08-10T23:37:14.079396,2025-08-10,23:37:14,https://www.carsensor.net/usedcar/bHO/s106/index2.html,https://www.carsensor.net/usedcar/detail/AU6467263316/index.html
S660,情報なし,660 アルファ 6速MT/ETC/アシンメトリーシート/クルコン,205.2万円,2016(H28),3.9万km,なし,フロア6MT,660CC,2025-08-10T23:37:14.082165,2025-08-10,23:37:14,https://www.carsensor.net/usedcar/bHO/s106/index2.html,https://www.carsensor.net/usedcar/detail/AU6379950675/index.html
S660,情報なし,660 アルファ 純正SDナビ バックカメラ　シティーブレーキアクティブシステム　LEDヘッドライト　純正16インチアルミホイール　ドライブレコーダー　ETC　オートエアコン　スマートキー,189.8万円,2018(H30),3.8万km,なし,フロアCVT,660CC,2025-08-10T23:37:14.085052,2025-08-10,23:37:14,https://www.carsensor.net/usedcar/bHO/s106/index2.html,https://www.carsensor.net/usedcar/detail/AU6456173364/index.html
S660,情報なし,660 アルファ クルーズコントロール LEDライト ETC 禁煙 オートライト　オートエアコン　スマートキー　ハーフレザーシート　アイドリングストップ　純正16インチAW　AUX接続　USB入力,164.9万円,2015(H27),1.5万km,なし,フロアCVT,660CC,2025-08-10T23:37:14.087827,2025-08-10,23:37:14,https://www.carsensor.net/usedcar/bHO/s106/index2.html,https://www.carsensor.net/usedcar/detail/AU6401461656/index.html
S660,情報なし,660 アルファ 新品タイヤ/ディスプレイオーディオ/ETC,159.5万円,2016(H28),5.1万km,なし,フロアCVT,660CC,2025-08-10T23:37:14.090748,2025-08-10,23:37:14,https://www.carsensor.net/usedcar/bHO/s106/index2.html,https://www.carsensor.net/usedcar/detail/AU6372783617/index.html
S660,情報なし,660 アルファ 純センターD　パドルシフト　社外ドラレコ,180万円,2016(H28),4.2万km,なし,インパネCVT,660CC,2025-08-10T23:37:14.093616,2025-08-10,23:37:14,https://www.carsensor.net/usedcar/bHO/s106/index2.html,https://www.carsensor.net/usedcar/detail/AU6483754017/index.html
S660,情報なし,660 アルファ 純正ディスプレイオーディオ　USB　HDMI　バックカメラ　シティブレーキシステム　ハーフレザーシート　シートヒーター　純正15インチ&16インチアルミ　LEDオートライト　禁煙車,268.9万円,2020(R02),3.7万km,なし,フロア6MT,660CC,2025-08-10T23:37:14.095991,2025-08-10,23:37:14,https://www.carsensor.net/usedcar/bHO/s106/index2.html,https://www.carsensor.net/usedcar/detail/AU6484059531/index.html
S660,情報なし,660 アルファ センターディスプレイ Bカメラ クルコン,179.8万円,2017(H29),4.8万km,なし,フロアMTモード付CVT,660CC,2025-08-10T23:37:14.098832,2025-08-10,23:37:14,https://www.carsensor.net/usedcar/bHO/s106/index2.html,https://www.carsensor.net/usedcar/detail/AU6434794299/index.html
S660,情報なし,660 アルファ 6MT ターボ バックカメラ 衝突軽減装置,209.9万円,2016(H28),3.2万km,なし,フロア6MT,660CC,2025-08-10T23:37:14.101754,2025-08-10,23:37:14,https://www.carsensor.net/usedcar/bHO/s106/index2.html,https://www.carsensor.net/usedcar/detail/AU6423078150/index.html
S660,情報なし,660 アルファ ソフトトップ　クルーズコントロール　パドルシフト　社外ドライブレコーダー　ETC　LEDライト　オートライト　革巻きステアリング　スマートキー　プッシュスタート　禁煙車　純正16インチアルミ,159.9万円,2015(H27),2.3万km,なし,フロアMTモード付CVT,660CC,2025-08-10T23:37:14.104395,2025-08-10,23:37:14,https://www.carsensor.net/usedcar/bHO/s106/index2.html,https://www.carsensor.net/usedcar/detail/AU6469727004/index.html
S660,情報なし,660 アルファ 純正ナビ・バックカメラ・スマートキー,222.3万円,2018(H30),2.2万km,なし,フロア6MT,660CC,2025-08-10T23:37:14.107102,2025-08-10,23:37:14,https://www.carsensor.net/usedcar/bHO/s106/index2.html,https://www.carsensor.net/usedcar/detail/AU6280491077/index.html
S660,情報なし,660 アルファ センターディスプレイ 衝突軽減 Bカメ 禁煙,219.8万円,2016(H28),1.4万km,なし,フロア6MT,660CC,2025-08-10T23:37:14.110100,2025-08-10,23:37:14,https://www.carsensor.net/usedcar/bHO/s106/index2.html,https://www.carsensor.net/usedcar/detail/AU6452789143/index.html
S660,情報なし,660 アルファ 純正センターディスプレイ　Bカメ　ETC,188.8万円,2018(H30),7.7万km,なし,フロア6MT,660CC,2025-08-10T23:37:14.113161,2025-08-10,23:37:14,https://www.carsensor.net/usedcar/bHO/s106/index2.html,https://www.carsensor.net/usedcar/detail/AU6485754487/index.html
S660,情報なし,660 アルファ ワンオーナー　ドラレコ　バックカメラ　ク,197万円,2016(H28),0.9万km,なし,フロアMTモード付CVT,660CC,2025-08-10T23:37:14.115963,2025-08-10,23:37:14,https://www.carsensor.net/usedcar/bHO/s106/index2.html,https://www.carsensor.net/usedcar/detail/AU6402078748/index.html
S660,情報なし,660 アルファ ユーザー買取車両・6速MT・モデューロXエアロ&15.16インチAW&減衰調整サスキット・アクティブスポイラー・SpoonSportsスタビ&スプリング・スカイサウンドスピーカー・純正DA・社外ナビ・バックカメラ・ETC,268.5万円,2020(R02),3.3万km,なし,フロア6MT,660CC,2025-08-10T23:37:14.118693,2025-08-10,23:37:14,https://www.carsensor.net/usedcar/bHO/s106/index2.html,https://www.carsensor.net/usedcar/detail/AU5907896943/index.html
S660,情報なし,660 アルファ /6MT/IDEAL車高調/HKSマフラー/社外ECU/LED,159万円,2018(H30),5.8万km,あり,フロア6MT,660CC,2025-08-10T23:37:14.121846,2025-08-10,23:37:14,https://www.carsensor.net/usedcar/bHO/s106/index2.html,https://www.carsensor.net/usedcar/detail/AU6407323409/index.html
S660,情報なし,660 アルファ 6速MT　センターディスプレイ　Bカメラ,276.4万円,2021(R03),2万km,なし,フロア6MT,660CC,2025-08-10T23:37:14.124675,2025-08-10,23:37:14,https://www.carsensor.net/usedcar/bHO/s106/index2.html,https://www.carsensor.net/usedcar/detail/AU6378057428/index.html
S660,情報なし,660 アルファ 6速MT クルーズコントロール ドラレコ ETC LEDヘッド オートライト スマートキー オートエアコン 黒革ラックススエードコンビスポーツシート 革巻きステアリング 革巻きシフトノブ ステンレスペダル,209.9万円,2016(H28),2.1万km,なし,フロア6MT,660CC,2025-08-10T23:37:14.127395,2025-08-10,23:37:14,https://www.carsensor.net/usedcar/bHO/s106/index2.html,https://www.carsensor.net/usedcar/detail/AU6335791719/index.html
S660,情報なし,660 アルファ 新品タイヤ/ディスプレイオーディオ,194.5万円,2016(H28),6.9万km,なし,フロア6MT,660CC,2025-08-10T23:37:14.130071,2025-08-10,23:37:14,https://www.carsensor.net/usedcar/bHO/s106/index2.html,https://www.carsensor.net/usedcar/detail/AU6441992587/index.html
S660,情報なし,660 ベータ 無限エアロ・軽減ブレーキ,159.5万円,2016(H28),5.8万km,なし,フロアCVT,660CC,2025-08-10T23:37:14.132762,2025-08-10,23:37:14,https://www.carsensor.net/usedcar/bHO/s106/index2.html,https://www.carsensor.net/usedcar/detail/AU6278730100/index.html
S660,情報なし,660 アルファ ギャザズナビVXU-192SSiドラレコ付き,216万円,2019(R01),0.3万km,なし,フロアMTモード付CVT,660CC,2025-08-10T23:37:14.135391,2025-08-10,23:37:14,https://www.carsensor.net/usedcar/bHO/s106/index2.html,https://www.carsensor.net/usedcar/detail/AU6442344247/index.html
S660,情報なし,660 アルファ 純ナビ　フルセグ　CTBA　パドルシフト,249.7万円,2020(R02),3万km,なし,インパネMTモード付CVT,660CC,2025-08-10T23:37:14.138064,2025-08-10,23:37:14,https://www.carsensor.net/usedcar/bHO/s106/index2.html,https://www.carsensor.net/usedcar/detail/AU6471882361/index.html
S660,情報なし,660 アルファ ディスプレイ BT接続  バックカメラ ETC,186.8万円,2016(H28),3.7万km,なし,フロアMTモード付CVT,660CC,2025-08-10T23:37:14.140783,2025-08-10,23:37:14,https://www.carsensor.net/usedcar/bHO/s106/index2.html,https://www.carsensor.net/usedcar/detail/AU6372974549/index.html
S660,情報なし,660 アルファ モデューロXバンパー ターボ クルコン LEDヘッド オートライト 革巻きハンドル パドルシフト ステアリングスイッチ スマートキー オートエアコン 黒革ラックススエードコンビシート ステンレスペダル,172.9万円,2017(H29),6.6万km,なし,フロアCVT,660CC,2025-08-10T23:37:14.143519,2025-08-10,23:37:14,https://www.carsensor.net/usedcar/bHO/s106/index2.html,https://www.carsensor.net/usedcar/detail/AU6396749454/index.html
S660,情報なし,660 アルファ ディスプレイオーディオ/ホンダセンシング,187.7万円,2016(H28),3.6万km,なし,フロアCVT,660CC,2025-08-10T23:37:16.902495,2025-08-10,23:37:16,https://www.carsensor.net/usedcar/bHO/s106/index3.html,https://www.carsensor.net/usedcar/detail/AU6448956392/index.html
S660,情報なし,660 アルファ MT車 　バックカメラ　 衝突被害軽減装置　シートヒーター　スマートキー　LEDヘッド　クルコン　オートライト　オートエアコン　純正15インチアルミ　Bluetooth,245.9万円,2022(R04),1.6万km,なし,フロア6MT,660CC,2025-08-10T23:37:16.905255,2025-08-10,23:37:16,https://www.carsensor.net/usedcar/bHO/s106/index3.html,https://www.carsensor.net/usedcar/detail/AU6368476850/index.html
S660,情報なし,660 アルファ センターディスプレイ バックカメラ LED,139.8万円,2016(H28),9万km,なし,フロアMTモード付CVT,660CC,2025-08-10T23:37:16.908010,2025-08-10,23:37:16,https://www.carsensor.net/usedcar/bHO/s106/index3.html,https://www.carsensor.net/usedcar/detail/AU6361834282/index.html
S660,情報なし,660 アルファ バックカメラ ETC DA LED クルコン,169.9万円,2016(H28),3.8万km,なし,フロアCVT,660CC,2025-08-10T23:37:16.910649,2025-08-10,23:37:16,https://www.carsensor.net/usedcar/bHO/s106/index3.html,https://www.carsensor.net/usedcar/detail/AU6387432262/index.html
S660,情報なし,660 アルファ ディスプレイオーディオ/LEDヘッドライト,238.7万円,2016(H28),0.7万km,なし,フロア6MT,660CC,2025-08-10T23:37:16.913344,2025-08-10,23:37:16,https://www.carsensor.net/usedcar/bHO/s106/index3.html,https://www.carsensor.net/usedcar/detail/AU6450743989/index.html
S660,情報なし,660 ブルーノ レザー エディション ETC　バックカメラ　LED　クルコン　センタ,187.7万円,2017(H29),7.5万km,なし,フロアMTモード付CVT,660CC,2025-08-10T23:37:16.915983,2025-08-10,23:37:16,https://www.carsensor.net/usedcar/bHO/s106/index3.html,https://www.carsensor.net/usedcar/detail/AU6365679671/index.html
S660,情報なし,660 アルファ 禁煙車 6MT 純正ディスプレイ バックカメラ,217.9万円,2016(H28),3.5万km,なし,フロア6MT,660CC,2025-08-10T23:37:16.919140,2025-08-10,23:37:16,https://www.carsensor.net/usedcar/bHO/s106/index3.html,https://www.carsensor.net/usedcar/detail/AU6454265164/index.html
S660,情報なし,660 アルファ センターディスプレィ　バックカメラ　シティブレーキ　禁煙車　Bluetooth　ハーフレザーシート　スマートキー　LEDヘッド　ETC　クルコン　オートライト　オートエアコン　純正15インチアルミ,199.9万円,2018(H30),2.4万km,なし,フロアCVT,660CC,2025-08-10T23:37:16.921860,2025-08-10,23:37:16,https://www.carsensor.net/usedcar/bHO/s106/index3.html,https://www.carsensor.net/usedcar/detail/AU6415825788/index.html
S660,情報なし,660 ブルーノ レザー エディション 6MT 禁煙車 茶革シート バックカメラ LED,219.9万円,2017(H29),3.9万km,なし,フロア6MT,660CC,2025-08-10T23:37:16.924645,2025-08-10,23:37:16,https://www.carsensor.net/usedcar/bHO/s106/index3.html,https://www.carsensor.net/usedcar/detail/AU6355415708/index.html
