車種名,モデル,グレード,支払総額,年式,走行距離,修復歴,ミッション,排気量,取得日時,取得日,取得時刻,ソースURL,車両URL
シビック,情報なし,1.5 純正ナビBカメラTVシートヒーター衝突軽減,189.6万円,2020(R02),6.1万km,なし,フロアMTモード付CVT,1500CC,2025-08-14T23:35:36.529655,2025-08-14,23:35:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S019&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6183805249/index.html
シビック,情報なし,1.5 EX スマートキー LEDライト 登録済未使用車,329.9万円,2025(R07),27km,なし,フロアMTモード付CVT,1500CC,2025-08-14T23:35:36.531922,2025-08-14,23:35:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S019&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6459405803/index.html
シビック,情報なし,1.5 RS 6MT LEDヘッドライト 登録済未使用車,390.2万円,2024(R06),128km,なし,フロア6MT,1500CC,2025-08-14T23:35:36.534083,2025-08-14,23:35:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S019&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6365941991/index.html
シビック,情報なし,1.5 ※数 量限 定新 品タ イ ヤプ レ ゼ ン ト!2018年式/修復歴無/走行4.1万km/カーセンサー認定車/ホンダセンシング,169.9万円,2018(H30),4.1万km,なし,フロアMTモード付CVT,1500CC,2025-08-14T23:35:36.536824,2025-08-14,23:35:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S019&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6233399795/index.html
シビック,情報なし,2.0 e:HEV R5登録Boseメーカー9インチナビTVバックカメラ10.2インチデジタルメーターAppleCarPlay AndroidAuto　レーダークルーズ衝突軽減ブレーキ　ブラインドスポットモニター,247.4万円,2023(R05),8.5万km,なし,その他MTモード付AT,2000CC,2025-08-14T23:35:36.539491,2025-08-14,23:35:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S019&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6447178231/index.html
シビック,情報なし,2.0 e:HEV EX スマートキー LEDヘッドライト サンルーフ,377.9万円,2024(R06),847km,なし,その他AT,2000CC,2025-08-14T23:35:36.541714,2025-08-14,23:35:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S019&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6285363147/index.html
シビック,情報なし,1.5 EX 訳あり車両/6MT/コネクトディスプレイ/ETC,324万円,2024(R06),0.9万km,なし,フロア6MT,1500CC,2025-08-14T23:35:36.543802,2025-08-14,23:35:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S019&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6384269503/index.html
シビック,情報なし,1.5 RS ボーズサウンド　シートヒーター,393.8万円,2025(R07),18km,なし,フロア6MT,1500CC,2025-08-14T23:35:36.546009,2025-08-14,23:35:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S019&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6372977836/index.html
シビック,情報なし,1.5 LX MT車・FF車・Hondaコネクトディスプレイ・,310.9万円,2023(R05),0.5万km,なし,フロアMTモード付6MT,1500CC,2025-08-14T23:35:36.548185,2025-08-14,23:35:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S019&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6410654735/index.html
シビック,情報なし,1.5 ホンダ認定中古　ワンオーナー車　ドライブレコーダー　メモリーナビ　Bluetooth　地デジフルセグ　バックカメラ　シートヒータ　パワーシート　LEDヘッドライト　スマートキー　セキュリティアラーム,208.5万円,2020(R02),8.9万km,なし,フロア6MT,1500CC,2025-08-14T23:35:36.550903,2025-08-14,23:35:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S019&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6364628073/index.html
シビック,情報なし,1.5 後期型ナビBカメラ衝突軽減LED温熱シート,229.9万円,2020(R02),2.7万km,なし,フロアCVT,1500CC,2025-08-14T23:35:36.553606,2025-08-14,23:35:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S019&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6376097768/index.html
シビック,情報なし,1.5 ワンオーナー.ギャザーズ純正ナビ(AM.FM.BT.TV).サンルーフ.レザーシート.バックカメラ.ホンダセンシング・路外逸脱抑制機能・アダプティブクルーズコントロール・車線維持支援システム,267.9万円,2020(R02),2万km,なし,フロアMTモード付CVT,1500CC,2025-08-14T23:35:36.556260,2025-08-14,23:35:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S019&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6390633697/index.html
シビック,情報なし,1.5 FF車・MT車・ダウンサス・純正ナビ・フルセ,266.4万円,2020(R02),3.7万km,なし,フロアMTモード付6MT,1500CC,2025-08-14T23:35:36.558372,2025-08-14,23:35:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S019&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6432448081/index.html
シビック,情報なし,1.5 RS 6MTR7登録未使用車9型ナビBOSE車内Wi-fi,389.2万円,2025(R07),20km,なし,フロア6MT,1500CC,2025-08-14T23:35:36.561060,2025-08-14,23:35:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S019&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6482283374/index.html
シビック,情報なし,1.5 RS 6MT　9インチディスプレイオーディオ　ブラインドスポットモニター　レーダークルーズコントロール　BOSEサウンドスピーカー　LEDヘッドライト　ホンダセンシング　フルセグTV　バックモニター,399.8万円,2024(R06),0.1万km,なし,フロア6MT,1500CC,2025-08-14T23:35:36.563814,2025-08-14,23:35:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S019&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6487722258/index.html
シビック,情報なし,1.5 EX 純正ナビ　ETC　リアカメラ,274.8万円,2021(R03),3.6万km,なし,フロアMTモード付CVT,1500CC,2025-08-14T23:35:36.566454,2025-08-14,23:35:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S019&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6397118097/index.html
シビック,情報なし,1.5 RS H SENSING 新車保証 試乗車 純正ナビ,404.7万円,2024(R06),0.1万km,なし,フロア6MT,1500CC,2025-08-14T23:35:36.569156,2025-08-14,23:35:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S019&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6449124588/index.html
シビック,情報なし,1.5 6MT ナビ Bカメラ 衝突軽減 ETC レカロ,189.8万円,2019(R01),8.8万km,なし,フロア6MT,1500CC,2025-08-14T23:35:36.571816,2025-08-14,23:35:36,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S019&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6316382565/index.html
