車種名,モデル,グレード,支払総額,年式,走行距離,修復歴,ミッション,排気量,取得日時,取得日,取得時刻,ソースURL,車両URL
シビックタイプR,情報なし,2.0 140系後期 フルオリジナル車両,604.8万円,2020(R02),0.6万km,なし,フロア6MT,2000CC,2025-08-12T23:36:04.019764,2025-08-12,23:36:04,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S053&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6284008885/index.html
シビックタイプR,情報なし,2.0 純正メモリーナビ　6速マニュアルミッショ,450万円,2019(R01),2.6万km,なし,フロア6MT,2000CC,2025-08-12T23:36:04.021879,2025-08-12,23:36:04,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S053&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6444001623/index.html
シビックタイプR,情報なし,2.0 純ナビ 社外エアロ タワーバー 無限テール,409.8万円,2019(R01),5.2万km,なし,フロア6MT,2000CC,2025-08-12T23:36:04.024556,2025-08-12,23:36:04,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S053&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6470378208/index.html
シビックタイプR,情報なし,2.0 6速MT MAK18AW タイプR専用シート,330万円,2016(H28),5万km,なし,フロア6MT,2000CC,2025-08-12T23:36:04.027261,2025-08-12,23:36:04,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S053&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6394315799/index.html
シビックタイプR,情報なし,2.0 1オーナー 純正ナビ 衝突軽減 クルコン ETC,567.5万円,2024(R06),0.2万km,なし,フロア6MT,2000CC,2025-08-12T23:36:04.029994,2025-08-12,23:36:04,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S053&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6414149935/index.html
シビックタイプR,情報なし,2.0 SDナビ バックカメラ　大型リヤスポイラー,459.9万円,2019(H31),0.6万km,なし,フロア6MT,2000CC,2025-08-12T23:36:04.032727,2025-08-12,23:36:04,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S053&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6339369158/index.html
シビックタイプR,情報なし,2.0 車両品質評価証付/登録済未使用車/禁煙車/純正ホンダコネクトナビ/バックカメラ/LEDヘッドライト/クルーズコントロール/ETC車載器/フルセグTV/Bluetooth/ステアリングリモコン/ホンダセンシング/ETC2.0車載器,578.6万円,2024(R06),76km,なし,フロアMTモード付6MT,2000CC,2025-08-12T23:36:04.035446,2025-08-12,23:36:04,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S053&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6407169554/index.html
シビックタイプR,情報なし,2.0 車両品質評価証付/登録済未使用車/禁煙車/純正ホンダコネクトナビ/バックカメラ/LEDヘッドライト/クルーズコントロール/ETC車載器/フルセグTV/Bluetooth/ステアリング/ホンダセンシング/純正ホイール,576.6万円,2024(R06),67km,なし,フロアMTモード付6MT,2000CC,2025-08-12T23:36:04.038176,2025-08-12,23:36:04,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S053&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6466348437/index.html
シビックタイプR,情報なし,2.0 ホンダセンシング　ホンダコネクト　トリプルマフラー　brembo製レッドブレーキキャリパー　純正19インチAW　ターボ　スマートキー　バックカメラ　アダプティブクルーズコントロール　ブラインドスポット,558.9万円,2024(R06),0.6万km,なし,フロア6MT,2000CC,2025-08-12T23:36:04.040901,2025-08-12,23:36:04,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S053&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6446014410/index.html
シビックタイプR,情報なし,2.0 車両品質評価証付/登録済未使用車/禁煙車/純正ホンダコネクトナビ/バックカメラ/LEDヘッドライト/クルーズコントロール/ETC2.0車載器/フルセグTV/Bluetooth/ステアリングリモコン/ブラインドスポットモニタ-,576.6万円,2025(R07),656km,なし,フロアMTモード付6MT,2000CC,2025-08-12T23:36:04.043629,2025-08-12,23:36:04,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=HO_S053&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6398733178/index.html
