車種名,モデル,グレード,支払総額,年式,走行距離,修復歴,ミッション,排気量,取得日時,取得日,取得時刻,ソースURL,車両URL
スカイライン,情報なし,3.0 GT タイプP 本革シート/メーカーナビ/クルコン/ETC2.0,197.5万円,2019(R01),2.7万km,あり,フロアMTモード付7AT,3000CC,2025-08-14T23:38:11.345734,2025-08-14,23:38:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S030&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6379655992/index.html
スカイライン,情報なし,3.0 GT 純正ナビ 純正アルミ車載　フルセグ 全方位カメラ,228.9万円,2019(R01),3.5万km,なし,フロアMTモード付7AT,3000CC,2025-08-14T23:38:11.348526,2025-08-14,23:38:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S030&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6376452686/index.html
スカイライン,情報なし,3.5 350GT ハイブリッド タイプP 中期型ナビTV360°カメラシートヒータLED,109.8万円,2018(H30),10万km,なし,フロア7AT,3500CC,2025-08-14T23:38:11.351240,2025-08-14,23:38:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S030&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6285695874/index.html
スカイライン,情報なし,3.5 350GT ハイブリッド タイプP 1オ-ナ-純正ナビ全方位モニター黒革シート,185.7万円,2018(H30),4.7万km,なし,フロアMTモード付7AT,3500CC,2025-08-14T23:38:11.353987,2025-08-14,23:38:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S030&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6430382795/index.html
スカイライン,情報なし,3.5 350GT ハイブリッド タイプSP メーカーナビTV360°カメラ黒革ビジョンPKG,79.9万円,2014(H26),11.2万km,なし,フロアMTモード付7AT,3500CC,2025-08-14T23:38:11.356721,2025-08-14,23:38:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S030&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6236499101/index.html
スカイライン,情報なし,3.0 GT ワンオーナーAビューカメラETC純正ドラレコ,365.3万円,2024(R06),0.6万km,なし,フロアMTモード付7AT,3000CC,2025-08-14T23:38:11.359414,2025-08-14,23:38:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S030&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6442007339/index.html
スカイライン,情報なし,3.0 GT スマートキー LEDヘッドライト サンルーフ,311.3万円,2023(R05),0.4万km,なし,フロアMTモード付7AT,3000CC,2025-08-14T23:38:11.361621,2025-08-14,23:38:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S030&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6413644250/index.html
スカイライン,情報なし,3.0 GT タイプP スマートキー LEDヘッドライト アラビュー,311.3万円,2023(R05),0.6万km,なし,フロアMTモード付7AT,3000CC,2025-08-14T23:38:11.363886,2025-08-14,23:38:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S030&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6413551405/index.html
スカイライン,情報なし,2.0 200GT-t 修復歴無し,94.9万円,2014(H26),5.5万km,なし,フロアMTモード付7AT,2000CC,2025-08-14T23:38:11.366547,2025-08-14,23:38:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S030&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6346688203/index.html
スカイライン,情報なし,3.5 350GT ハイブリッド タイプP メーカーナビTV360カメラ黒革シートヒータ,134.9万円,2015(H27),4万km,なし,フロアMTモード付7AT,3500CC,2025-08-14T23:38:11.369260,2025-08-14,23:38:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S030&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6264338727/index.html
スカイライン,情報なし,2.0 200GT-t タイプP 禁煙車/全方位カメラ/衝突軽減/ADクルコン,137.9万円,2015(H27),4.7万km,なし,フロア7AT,2000CC,2025-08-14T23:38:11.371411,2025-08-14,23:38:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S030&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6384584384/index.html
スカイライン,情報なし,3.0 GT ユーザー買取ワンオーナー/純正ナビ/フルセグ/Bluetooth/全方位カメラ/純正17inAW/前後ドラレコ/障害物センサー/クルコン/ハーフレザーシート/パワーシート/スタッドレスタイヤ,215万円,2021(R03),7.4万km,なし,フロアMTモード付7AT,3000CC,2025-08-14T23:38:11.373596,2025-08-14,23:38:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S030&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6218857751/index.html
スカイライン,情報なし,3.5 ハイブリッド GT タイプP 純正ナビ360°カメラTVプロパイロット本革,215.9万円,2019(R01),5.6万km,なし,フロアMTモード付7AT,3500CC,2025-08-14T23:38:11.376284,2025-08-14,23:38:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S030&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6448965985/index.html
スカイライン,情報なし,200GT-t 純正8インチナビ　バックカメラ　クルーズコントロール　ハーフレザーシート　ビルトインETC　前後ドライブレコーダー　パワーシート　純正フロアマット　Bluetooth　フルセグTV　純正フロアマット,145.8万円,2015(H27),3.9万km,なし,その他MTモード付AT,2000CC,2025-08-14T23:38:11.379025,2025-08-14,23:38:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S030&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6410508059/index.html
スカイライン,情報なし,3.5 ハイブリッド GT タイプP 4WD 純正8型ナビ　フルセグ　全周囲カメラ　衝突軽減　プロパイロット2.0　ブラインドスポットモニター　ヘッドアップディスプレイ　シートヒーター　ETC　ベージュ革シート　LEDライト　純正18インチアルミ,269.9万円,2020(R02),5.3万km,なし,フロアMTモード付7AT,3500CC,2025-08-14T23:38:11.381804,2025-08-14,23:38:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S030&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6434008309/index.html
スカイライン,情報なし,3.5 350GT ハイブリッド タイプSP 純正ナビ　アラウンドビューモニター・TV 黒革シートヒータ・パワーシート　純正19AW　レーダークルーズ・エマージェンシーブレーキ,89.1万円,2014(H26),9.4万km,なし,フロア7AT,3500CC,2025-08-14T23:38:11.384603,2025-08-14,23:38:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S030&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6470754889/index.html
スカイライン,情報なし,3.5 350GT ハイブリッド タイプP 純正ナビ　全周囲カメラ　エマージェンシーブレーキ　レーダークルーズ　禁煙車　ブラックレザーシート　ドラレコ　コーナーセンサー　スマートキー　LEDヘッド　ビルトインETC　オートライト,157.9万円,2017(H29),6万km,なし,フロア7AT,3500CC,2025-08-14T23:38:11.387350,2025-08-14,23:38:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S030&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6462565270/index.html
スカイライン,情報なし,2.5 250GT 1年保証付　純正HDDナビ　フルセグ　バックカメラ　サイドカメラ　Bluetooth　ETC　HIDオートライト　CD再生　ハーフレザーシート　パワーシート　ステアリングスイッチ　プッシュスタート,64.5万円,2014(H26),6.7万km,なし,フロアMTモード付7AT,2500CC,2025-08-14T23:38:11.390145,2025-08-14,23:38:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S030&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6193511855/index.html
スカイライン,情報なし,3.5 350GT ハイブリッド タイプP ベージュ革メーカーナビTV360°カメラ,79.9万円,2014(H26),8.6万km,なし,フロアMTモード付7AT,3500CC,2025-08-14T23:38:11.392851,2025-08-14,23:38:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S030&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6254745765/index.html
スカイライン,情報なし,3.5 350GT ハイブリッド タイプP 禁煙車　メーカーナビ,148.7万円,2016(H28),8.3万km,なし,フロアMTモード付7AT,3500CC,2025-08-14T23:38:11.395011,2025-08-14,23:38:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S030&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6454244948/index.html
スカイライン,情報なし,3.5 350GT ハイブリッド タイプSP 本革 衝突軽減 純正ナビ アラビュー BSM,113.5万円,2014(H26),9万km,なし,フロアMTモード付7AT,3500CC,2025-08-14T23:38:11.397210,2025-08-14,23:38:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S030&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6462870136/index.html
スカイライン,情報なし,2.0 200GT-t タイプP 本革エアシート 全周囲カメラ 純正AW,175万円,2018(H30),1.4万km,なし,フロアMTモード付7AT,2000CC,2025-08-14T23:38:11.399953,2025-08-14,23:38:11,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=NI_S030&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6452635104/index.html
