車種名,モデル,グレード,支払総額,年式,走行距離,修復歴,ミッション,排気量,取得日時,取得日,取得時刻,ソースURL,車両URL
ランドクルーザープラド,情報なし,2.7 TX 4WD サンルーフアクセル踏み間違いバックカメラ,413.7万円,2021(R03),1.8万km,なし,フロア6AT,2700CC,2025-08-07T23:32:40.594516,2025-08-07,23:32:40,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S152&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6358337267/index.html
ランドクルーザープラド,情報なし,2.8 TX Lパッケージ ディーゼルターボ 4WD Bluetoothオーディオ　ドラレコ　ETC,468.9万円,2020(R02),2.6万km,なし,フロア6AT,2800CC,2025-08-07T23:32:40.597329,2025-08-07,23:32:40,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S152&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6454116483/index.html
ランドクルーザープラド,情報なし,ランドクルーザープラド TX,260.1万円,2013(H25),5.8万km,なし,フロア4AT,2700CC,2025-08-07T23:32:40.600046,2025-08-07,23:32:40,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S152&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6377864002/index.html
ランドクルーザープラド,情報なし,2.7 TX 4WD MR　SDナビ　Bモニター　ETC　ドラレコLED,356.3万円,2019(R01),5.3万km,なし,フロア6AT,2700CC,2025-08-07T23:32:40.602743,2025-08-07,23:32:40,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S152&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6331871103/index.html
ランドクルーザープラド,情報なし,2.7 TX Lパッケージ 4WD サンルーフ　ルーフレールATタイヤ17AW,414.4万円,2020(R02),2.4万km,なし,フロアMTモード付6AT,2700CC,2025-08-07T23:32:40.605361,2025-08-07,23:32:40,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S152&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6351452133/index.html
ランドクルーザープラド,情報なし,2.7 TX 4WD メーカー9型ナビ 全周囲カメラ 衝突軽減 寒冷地仕様　レーダークルーズ　ETC　LEDヘッド・フォグ　ドラレコ　AppleCarPlay オートハイビーム 純正17インチAW オートエアコン,409.9万円,2023(R05),3.1万km,なし,フロアMTモード付6AT,2700CC,2025-08-07T23:32:40.608134,2025-08-07,23:32:40,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S152&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6392686703/index.html
ランドクルーザープラド,情報なし,2.7 TX Lパッケージ マットブラック エディション 4WD サンルーフ　マルチテレイン　BSM　寒冷地　純正ディスプレイオーディオナビ　サンルーフ　ブラインドスポット　　7人乗　ベージュ内装　シートヒーター　シートクーラー　ETC2.0　ヘッドライトウォッシャー,488万円,2023(R05),1.7万km,なし,フロアMTモード付6AT,2700CC,2025-08-07T23:32:40.610916,2025-08-07,23:32:40,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S152&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6371519738/index.html
ランドクルーザープラド,情報なし,2.7 TX Lパッケージ 4WD 電動ムーンルーフ　ブラックルーフレール　スペアタイヤ　寒冷地仕様　スペアタイヤ　ガナドールマフラー レーダークルーズコントロール ETC セキュリティー　リフトアップ　ハイラックス純正アルミホイール　HDMI,483万円,2022(R04),0.3万km,なし,フロア6AT,2700CC,2025-08-07T23:32:40.613821,2025-08-07,23:32:40,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S152&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6469392279/index.html
ランドクルーザープラド,情報なし,2.7 TX 4WD 4WD　クルーズコントロール　寒冷地仕様　ワンオーナー　フルセグ　ETC　オートハイビーム　電動格納ミラー　LEDヘッドライト　パーキングレーダーセンサー搭載　バックカメラ　Bluetooth対応,328.8万円,2019(R01),7.8万km,なし,フロアMTモード付6AT,2700CC,2025-08-07T23:32:40.616722,2025-08-07,23:32:40,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S152&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6473250646/index.html
ランドクルーザープラド,情報なし,2.7 TX Lパッケージ 4WD 純正7型ナビ　BC　ETC　サンルーフ,329.9万円,2017(H29),5万km,なし,フロアMTモード付6AT,2700CC,2025-08-07T23:32:40.619506,2025-08-07,23:32:40,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S152&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6385641710/index.html
ランドクルーザープラド,情報なし,2.7 TX Lパッケージ 4WD トヨタ認定中古車・1オーナー・サンルーフ,411.7万円,2020(R02),4.1万km,なし,フロア6AT,2700CC,2025-08-07T23:32:40.622311,2025-08-07,23:32:40,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S152&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6435634567/index.html
ランドクルーザープラド,情報なし,2.7 TX Lパッケージ 4WD サンルーフ 社外ナビ Bカメラ クルコン ETC,465.8万円,2023(R05),3万km,なし,フロア6AT,2700CC,2025-08-07T23:32:40.625139,2025-08-07,23:32:40,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S152&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6428467319/index.html
ランドクルーザープラド,情報なし,2.7 TX Lパッケージ 4WD 1オナ SR 寒冷地仕様 黒革 シートヒーター,469.8万円,2021(R03),1.2万km,なし,フロアMTモード付6AT,2700CC,2025-08-07T23:32:40.627826,2025-08-07,23:32:40,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S152&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6306493833/index.html
ランドクルーザープラド,情報なし,2.7 TX Lパッケージ 4WD トヨタ認定中古車,440.1万円,2021(R03),3.1万km,なし,フロア6AT,2700CC,2025-08-07T23:32:40.630645,2025-08-07,23:32:40,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S152&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6471922118/index.html
ランドクルーザープラド,情報なし,2.7 TX Lパッケージ 4WD サンルーフ メーカー9型ナビ 全周囲カメラ トヨタセーフティセンス　レーダークルーズ　禁煙車　ベージュレザーシート　前席シートエアコン　ドラレコ　コーナーセンサー　ビルトインETC,489.9万円,2023(R05),2.9万km,なし,フロア6AT,2700CC,2025-08-07T23:32:40.633420,2025-08-07,23:32:40,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S152&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6420599865/index.html
ランドクルーザープラド,情報なし,2.7 TX Lパッケージ マットブラック エディション 4WD サンルーフ　BIG-X9インチナビ　バックカメラ　セーフティセンス　シートベンチレーション　レーダークルーズコントロール　ETC　本革シート　LEDヘッドライト　パワーシート　4WD,469.9万円,2022(R04),2.2万km,なし,フロア6AT,2700CC,2025-08-07T23:32:40.636209,2025-08-07,23:32:40,https://www.carsensor.net/usedcar/index.html?STID=CS210610&AR=&BRDC=&CARC=TO_S152&NINTEI=&CSHOSHO=,https://www.carsensor.net/usedcar/detail/AU6309232218/index.html
